text,category
"I love this product! It's amazing and works perfectly.",positive
"This is the worst experience I've ever had. Terrible service.",negative
"The weather is okay today. Nothing special.",neutral
"Absolutely fantastic! Highly recommend to everyone.",positive
"I hate waiting in long lines. So frustrating!",negative
"The movie was decent. Not bad but not great either.",neutral
"Best purchase I've made this year! So happy with it.",positive
"Customer service was rude and unhelpful. Very disappointed.",negative
"It's an average product. Does what it's supposed to do.",neutral
"Outstanding quality and fast delivery. Will buy again!",positive
"The app keeps crashing. Very annoying and unreliable.",negative
"The food was fine. Nothing to complain about.",neutral
"Exceeded my expectations! Brilliant design and functionality.",positive
"Waste of money. Poor quality and doesn't work as advertised.",negative
"Standard service. Got what I expected.",neutral
"Love the new features! Makes everything so much easier.",positive
"Slow response time and frequent errors. Not impressed.",negative
"The presentation was informative and well-structured.",neutral
"Incredible value for money! Couldn't be happier.",positive
"Technical support was useless. Couldn't solve my problem.",negative
